driver,month,spec,n_files,n_lines,commit,sample_path
PYTHON,2023-07,command-monitoring,11,2638,c88ae79e,test/command_monitoring/bulkWrite.json
PYTHON,2023-07,connection-monitoring-and-pooling,30,1934,c88ae79e,test/cmap/connection-must-have-id.json
PYTHON,2023-07,connection-string,10,1688,c88ae79e,test/connection_string/test/invalid-uris.json
PYTHON,2023-07,crud,142,31521,c88ae79e,test/crud/unified/aggregate-allowdiskuse.json
PYTHON,2023-07,gridfs,5,2475,c88ae79e,test/gridfs/delete.json
PYTHON,2023-07,index-management,5,604,c88ae79e,test/index_management/createSearchIndex.json
PYTHON,2023-07,initial-dns-seedlist-discovery,52,618,c88ae79e,test/srv_seedlist/load-balanced/loadBalanced-directConnection.json
PYTHON,2023-07,load-balancers,8,3943,c88ae79e,test/load_balancer/cursors.json
PYTHON,2023-07,max-staleness,32,2293,c88ae79e,test/max_staleness/ReplicaSetNoPrimary/DefaultNoMaxStaleness.json
PYTHON,2023-07,read-write-concern,6,1212,c88ae79e,test/read_write_concern/document/read-concern.json
PYTHON,2023-07,retryable-reads,43,21268,c88ae79e,test/retryable_reads/legacy/aggregate-merge.json
PYTHON,2023-07,retryable-writes,33,8244,c88ae79e,test/retryable_writes/legacy/bulkWrite-errorLabels.json
PYTHON,2023-07,run-command,2,1512,c88ae79e,test/run_command/unified/runCommand.json
PYTHON,2023-07,server-discovery-and-monitoring,199,21754,c88ae79e,test/discovery_and_monitoring/errors/error_handling_handshake.json
PYTHON,2023-07,server-selection,68,2783,c88ae79e,test/server_selection/in_window/equilibrium.json
PYTHON,2023-07,sessions,7,3343,c88ae79e,test/sessions/driver-sessions-dirty-session-errors.json
PYTHON,2023-07,transactions,36,26646,c88ae79e,test/transactions/legacy/abort.json
PYTHON,2023-07,transactions-convenient-api,9,3780,c88ae79e,test/transactions-convenient-api/callback-aborts.json
PYTHON,2023-07,unified-test-format,271,11742,c88ae79e,test/unified-test-format/invalid/clientEncryptionOpts-additionalProperties.json
PYTHON,2023-07,uri-options,9,1354,c88ae79e,test/uri_options/auth-options.json
PYTHON,2023-07,versioned-api,6,2834,c88ae79e,test/versioned-api/crud-api-version-1-strict.json
PYTHON,2023-08,atlas-data-lake-testing,7,282,f2867a9a,test/data_lake/aggregate.json
PYTHON,2023-08,auth,3,958,f2867a9a,test/auth/legacy/connection-string.json
PYTHON,2023-08,bson-corpus,31,5250,f2867a9a,test/bson_corpus/array.json
PYTHON,2023-08,change-streams,8,8197,f2867a9a,test/change_streams/unified/change-streams-clusterTime.json
PYTHON,2023-08,client-side-encryption,137,87816,f2867a9a,test/client-side-encryption/corpus/corpus-encrypted.json
PYTHON,2023-08,client-side-operations-timeout,24,31155,f2867a9a,test/csot/bulkWrite.json
PYTHON,2023-08,collection-management,4,814,f2867a9a,test/collection_management/clustered-indexes.json
PYTHON,2023-08,command-monitoring,11,2638,f2867a9a,test/command_monitoring/bulkWrite.json
PYTHON,2023-08,connection-monitoring-and-pooling,30,1934,f2867a9a,test/cmap/connection-must-have-id.json
PYTHON,2023-08,connection-string,10,1688,f2867a9a,test/connection_string/test/invalid-uris.json
PYTHON,2023-08,crud,142,31521,f2867a9a,test/crud/unified/aggregate-allowdiskuse.json
PYTHON,2023-08,faas-automated-testing,2,104,f2867a9a,test/lambda/events/event.json
PYTHON,2023-08,gridfs,5,2475,f2867a9a,test/gridfs/delete.json
PYTHON,2023-08,index-management,5,614,f2867a9a,test/index_management/createSearchIndex.json
PYTHON,2023-08,initial-dns-seedlist-discovery,52,618,f2867a9a,test/srv_seedlist/load-balanced/loadBalanced-directConnection.json
PYTHON,2023-08,load-balancers,8,3943,f2867a9a,test/load_balancer/cursors.json
PYTHON,2023-08,max-staleness,32,2293,f2867a9a,test/max_staleness/ReplicaSetNoPrimary/DefaultNoMaxStaleness.json
PYTHON,2023-08,read-write-concern,6,1212,f2867a9a,test/read_write_concern/document/read-concern.json
PYTHON,2023-08,retryable-reads,43,21268,f2867a9a,test/retryable_reads/legacy/aggregate-merge.json
PYTHON,2023-08,retryable-writes,33,8244,f2867a9a,test/retryable_writes/legacy/bulkWrite-errorLabels.json
PYTHON,2023-08,run-command,2,1512,f2867a9a,test/run_command/unified/runCommand.json
PYTHON,2023-08,server-discovery-and-monitoring,199,21754,f2867a9a,test/discovery_and_monitoring/errors/error_handling_handshake.json
PYTHON,2023-08,server-selection,68,2783,f2867a9a,test/server_selection/in_window/equilibrium.json
PYTHON,2023-08,sessions,7,3343,f2867a9a,test/sessions/driver-sessions-dirty-session-errors.json
PYTHON,2023-08,transactions,36,26646,f2867a9a,test/transactions/legacy/abort.json
PYTHON,2023-08,transactions-convenient-api,9,3780,f2867a9a,test/transactions-convenient-api/callback-aborts.json
PYTHON,2023-08,unified-test-format,271,11742,f2867a9a,test/unified-test-format/invalid/clientEncryptionOpts-additionalProperties.json
PYTHON,2023-08,uri-options,9,1354,f2867a9a,test/uri_options/auth-options.json
PYTHON,2023-08,versioned-api,6,2834,f2867a9a,test/versioned-api/crud-api-version-1-strict.json
PYTHON,2023-09,atlas-data-lake-testing,7,282,0590ce49,test/data_lake/aggregate.json
PYTHON,2023-09,auth,3,935,0590ce49,test/auth/legacy/connection-string.json
PYTHON,2023-09,bson-corpus,31,5250,0590ce49,test/bson_corpus/array.json
PYTHON,2023-09,change-streams,8,8197,0590ce49,test/change_streams/unified/change-streams-clusterTime.json
PYTHON,2023-09,client-side-encryption,137,87816,0590ce49,test/client-side-encryption/corpus/corpus-encrypted.json
PYTHON,2023-09,client-side-operations-timeout,24,31155,0590ce49,test/csot/bulkWrite.json
PYTHON,2023-09,collection-management,4,814,0590ce49,test/collection_management/clustered-indexes.json
PYTHON,2023-09,command-monitoring,11,2638,0590ce49,test/command_monitoring/bulkWrite.json
PYTHON,2023-09,connection-monitoring-and-pooling,30,1934,0590ce49,test/cmap/connection-must-have-id.json
PYTHON,2023-09,connection-string,10,1688,0590ce49,test/connection_string/test/invalid-uris.json
PYTHON,2023-09,crud,142,31521,0590ce49,test/crud/unified/aggregate-allowdiskuse.json
PYTHON,2023-09,faas-automated-testing,2,104,0590ce49,test/lambda/events/event.json
PYTHON,2023-09,gridfs,5,2475,0590ce49,test/gridfs/delete.json
PYTHON,2023-09,index-management,5,614,0590ce49,test/index_management/createSearchIndex.json
PYTHON,2023-09,initial-dns-seedlist-discovery,52,618,0590ce49,test/srv_seedlist/load-balanced/loadBalanced-directConnection.json
PYTHON,2023-09,load-balancers,8,3943,0590ce49,test/load_balancer/cursors.json
PYTHON,2023-09,max-staleness,32,2293,0590ce49,test/max_staleness/ReplicaSetNoPrimary/DefaultNoMaxStaleness.json
PYTHON,2023-09,read-write-concern,6,1212,0590ce49,test/read_write_concern/document/read-concern.json
PYTHON,2023-09,retryable-reads,43,21268,0590ce49,test/retryable_reads/legacy/aggregate-merge.json
PYTHON,2023-09,retryable-writes,33,8244,0590ce49,test/retryable_writes/legacy/bulkWrite-errorLabels.json
PYTHON,2023-09,run-command,2,1512,0590ce49,test/run_command/unified/runCommand.json
PYTHON,2023-09,server-discovery-and-monitoring,199,21754,0590ce49,test/discovery_and_monitoring/errors/error_handling_handshake.json
