driver,month,spec,n_files,n_lines,driver_commit,submodule_sha
JAVA,2026-01,server-discovery-and-monitoring,226,16199,55600120,de684cf1
JAVA,2026-01,server-selection,98,2627,55600120,de684cf1
JAVA,2026-01,sessions,7,1834,55600120,de684cf1
JAVA,2026-01,transactions,40,16665,55600120,de684cf1
JAVA,2026-01,transactions-convenient-api,10,2027,55600120,de684cf1
JAVA,2026-01,unified-test-format,318,6323,55600120,de684cf1
JAVA,2026-01,uri-options,11,1305,55600120,de684cf1
JAVA,2026-01,versioned-api,6,1088,55600120,de684cf1
JAVA,2026-02,auth,2,711,7a271caf,bb9dddd8
JAVA,2026-02,change-streams,9,4011,7a271caf,bb9dddd8
JAVA,2026-02,client-side-encryption,220,53740,7a271caf,bb9dddd8
JAVA,2026-02,client-side-operations-timeout,28,20635,7a271caf,bb9dddd8
JAVA,2026-02,collection-management,6,482,7a271caf,bb9dddd8
JAVA,2026-02,command-logging-and-monitoring,25,3059,7a271caf,bb9dddd8
JAVA,2026-02,connection-monitoring-and-pooling,35,1704,7a271caf,bb9dddd8
JAVA,2026-02,connection-string,8,1256,7a271caf,bb9dddd8
JAVA,2026-02,crud,189,18682,7a271caf,bb9dddd8
JAVA,2026-02,gridfs,8,1152,7a271caf,bb9dddd8
JAVA,2026-02,index-management,7,535,7a271caf,bb9dddd8
JAVA,2026-02,initial-dns-seedlist-discovery,53,467,7a271caf,bb9dddd8
JAVA,2026-02,load-balancers,8,1533,7a271caf,bb9dddd8
JAVA,2026-02,max-staleness,32,965,7a271caf,bb9dddd8
JAVA,2026-02,mongodb-handshake,1,55,7a271caf,bb9dddd8
JAVA,2026-02,open-telemetry,22,2008,7a271caf,bb9dddd8
JAVA,2026-02,read-write-concern,8,807,7a271caf,bb9dddd8
JAVA,2026-02,retryable-reads,45,12102,7a271caf,bb9dddd8
JAVA,2026-02,retryable-writes,35,6198,7a271caf,bb9dddd8
JAVA,2026-02,run-command,2,660,7a271caf,bb9dddd8
JAVA,2026-02,server-discovery-and-monitoring,226,16199,7a271caf,bb9dddd8
JAVA,2026-02,server-selection,99,2663,7a271caf,bb9dddd8
JAVA,2026-02,sessions,7,1834,7a271caf,bb9dddd8
JAVA,2026-02,transactions,40,16665,7a271caf,bb9dddd8
JAVA,2026-02,transactions-convenient-api,10,2027,7a271caf,bb9dddd8
JAVA,2026-02,unified-test-format,318,6323,7a271caf,bb9dddd8
JAVA,2026-02,uri-options,11,1305,7a271caf,bb9dddd8
JAVA,2026-02,versioned-api,6,1088,7a271caf,bb9dddd8
JAVA,2026-03,auth,2,711,6c4ab1b3,c3c82b62
JAVA,2026-03,change-streams,9,4011,6c4ab1b3,c3c82b62
JAVA,2026-03,client-backpressure,4,3984,6c4ab1b3,c3c82b62
JAVA,2026-03,client-side-encryption,222,53961,6c4ab1b3,c3c82b62
JAVA,2026-03,client-side-operations-timeout,28,20686,6c4ab1b3,c3c82b62
JAVA,2026-03,collection-management,6,482,6c4ab1b3,c3c82b62
JAVA,2026-03,command-logging-and-monitoring,25,3059,6c4ab1b3,c3c82b62
JAVA,2026-03,connection-monitoring-and-pooling,35,1704,6c4ab1b3,c3c82b62
JAVA,2026-03,connection-string,8,1256,6c4ab1b3,c3c82b62
JAVA,2026-03,crud,189,18682,6c4ab1b3,c3c82b62
JAVA,2026-03,gridfs,8,1152,6c4ab1b3,c3c82b62
JAVA,2026-03,index-management,7,535,6c4ab1b3,c3c82b62
JAVA,2026-03,initial-dns-seedlist-discovery,53,467,6c4ab1b3,c3c82b62
JAVA,2026-03,load-balancers,8,1533,6c4ab1b3,c3c82b62
JAVA,2026-03,max-staleness,32,965,6c4ab1b3,c3c82b62
JAVA,2026-03,mongodb-handshake,1,55,6c4ab1b3,c3c82b62
JAVA,2026-03,open-telemetry,22,2008,6c4ab1b3,c3c82b62
JAVA,2026-03,read-write-concern,8,807,6c4ab1b3,c3c82b62
JAVA,2026-03,retryable-reads,45,12102,6c4ab1b3,c3c82b62
JAVA,2026-03,retryable-writes,35,6198,6c4ab1b3,c3c82b62
JAVA,2026-03,run-command,2,660,6c4ab1b3,c3c82b62
JAVA,2026-03,server-discovery-and-monitoring,230,16647,6c4ab1b3,c3c82b62
JAVA,2026-03,server-selection,108,2917,6c4ab1b3,c3c82b62
JAVA,2026-03,sessions,7,1834,6c4ab1b3,c3c82b62
JAVA,2026-03,transactions,44,17546,6c4ab1b3,c3c82b62
JAVA,2026-03,transactions-convenient-api,10,2027,6c4ab1b3,c3c82b62
JAVA,2026-03,unified-test-format,320,6353,6c4ab1b3,c3c82b62
JAVA,2026-03,uri-options,12,1332,6c4ab1b3,c3c82b62
JAVA,2026-03,versioned-api,6,1088,6c4ab1b3,c3c82b62
JAVA,2026-04,auth,2,711,e9c0c4b0,7039e699
JAVA,2026-04,change-streams,9,4044,e9c0c4b0,7039e699
JAVA,2026-04,client-backpressure,4,3434,e9c0c4b0,7039e699
JAVA,2026-04,client-side-encryption,223,54199,e9c0c4b0,7039e699
JAVA,2026-04,client-side-operations-timeout,28,20686,e9c0c4b0,7039e699
JAVA,2026-04,collection-management,6,482,e9c0c4b0,7039e699
JAVA,2026-04,command-logging-and-monitoring,25,3059,e9c0c4b0,7039e699
JAVA,2026-04,connection-monitoring-and-pooling,35,1704,e9c0c4b0,7039e699
JAVA,2026-04,connection-string,8,1256,e9c0c4b0,7039e699
JAVA,2026-04,crud,189,18682,e9c0c4b0,7039e699
JAVA,2026-04,gridfs,8,1152,e9c0c4b0,7039e699
JAVA,2026-04,index-management,7,535,e9c0c4b0,7039e699
JAVA,2026-04,initial-dns-seedlist-discovery,53,467,e9c0c4b0,7039e699
JAVA,2026-04,load-balancers,8,1533,e9c0c4b0,7039e699
JAVA,2026-04,max-staleness,32,965,e9c0c4b0,7039e699
JAVA,2026-04,mongodb-handshake,1,55,e9c0c4b0,7039e699
JAVA,2026-04,open-telemetry,22,2008,e9c0c4b0,7039e699
JAVA,2026-04,read-write-concern,8,807,e9c0c4b0,7039e699
JAVA,2026-04,retryable-reads,45,12102,e9c0c4b0,7039e699
JAVA,2026-04,retryable-writes,35,6198,e9c0c4b0,7039e699
JAVA,2026-04,run-command,2,660,e9c0c4b0,7039e699
JAVA,2026-04,server-discovery-and-monitoring,230,16647,e9c0c4b0,7039e699
JAVA,2026-04,server-selection,108,2917,e9c0c4b0,7039e699
JAVA,2026-04,sessions,7,1834,e9c0c4b0,7039e699
JAVA,2026-04,transactions,44,17522,e9c0c4b0,7039e699
JAVA,2026-04,transactions-convenient-api,10,2027,e9c0c4b0,7039e699
JAVA,2026-04,unified-test-format,320,6353,e9c0c4b0,7039e699
JAVA,2026-04,uri-options,12,1358,e9c0c4b0,7039e699
JAVA,2026-04,versioned-api,6,1088,e9c0c4b0,7039e699
JAVA,2026-05,auth,2,711,e9c0c4b0,7039e699
